Latitude,Longitude
51.555,-0.108611
52.509167,-1.884722
53.728611,-2.489167
53.580556,-2.535556
51.481667,-0.191111
53.438889,-2.966389
51.475,-0.221667
53.430819,-2.960828
53.482989,-2.200292
53.463056,-2.291389
54.975556,-1.621667
52.622128,1.308653
51.509167,-0.232222
52.988333,-2.175556
54.9144,-1.3882
51.6422,-3.9351
51.603333,-0.065833
52.509167,-1.963889
53.547778,-2.653889
52.590278,-2.130278
53.552222,-1.4675
52.475703,-1.868189
53.804722,-3.048056
50.861822,-0.083278
51.44,-2.620278
53.789167,-2.230278
51.472778,-3.203056
52.448056,-1.495556
51.398333,-0.085556
52.915,-1.447222
53.509722,-1.113889
53.746111,-0.367778
52.055061,1.144831
53.777778,-1.572222
52.620278,-1.142222
54.578333,-1.216944
51.485953,-0.05095
52.94,-1.132778
52.564697,-0.240406
50.796389,-1.063889
51.422222,-0.982778
50.905833,-1.391111
51.649836,-0.401486
51.531944,0.039444
55.886167,-3.522872
57.494722,-4.2175
55.849711,-4.205589
56.475264,-2.973194
56.075308,-3.441906
55.961667,-3.165556
56.005136,-3.754269
55.779947,-3.980078
55.881556,-4.269639
55.853206,-4.309258
56.409686,-3.476928
55.782156,-4.058503
57.159167,-2.088889
55.604225,-4.508122
55.850556,-4.443889
56.474703,-2.968961
55.939167,-3.232222
57.595947,-4.418914
48.3225,10.882222
51.038256,7.002206
48.218775,11.624753
51.492569,7.451842
51.174583,6.385464
52.29,10.521667
50.068572,8.645458
47.988889,7.893056
53.587158,9.898617
52.360067,9.731197
52.514722,13.239444
49.239008,8.888281
49.984167,8.224167
49.426111,11.125833
51.554503,7.067589
48.792269,9.232031
53.066394,8.837628
52.431944,10.803889
51.261667,6.733056
49.486944,10.999167
49.434722,7.776667
50.933497,6.874997
53.554444,9.967778
36.84,-2.435278
43.264284,-2.950366
40.401719,-3.720606
41.38087,2.122802
37.356389,-5.981389
42.211842,-8.739711
38.266944,-0.663333
41.347861,2.075667
40.325556,-3.714722
37.152967,-3.595736
39.494722,-0.364167
36.734092,-4.426422
42.796667,-1.636944
40.391944,-3.658961
40.45306,-3.68835
43.301378,-1.973617
37.384,-5.9705
39.474656,-0.358361
41.644444,-4.761111
39.944167,-0.103611
43.368714,-8.417516
39.59,2.63
41.636592,-0.901822
41.931081,8.776725
42.6514,9.442619
44.829167,-0.597778
45.916497,6.118054
48.566285,-3.164599
50.611883,3.130428
47.748747,-3.369367
45.723889,4.832222
43.269722,5.395833
43.727606,7.415614
43.622222,3.811944
47.255631,-1.525375
43.723328,7.258756
48.841389,2.253056
49.246667,4.025
48.107458,-1.712839
45.460833,4.390278
47.512417,6.8112
43.583056,1.434167
50.348131,3.533027
48.6955,6.210687
47.324383,5.068342
48.307561,4.098458
47.786753,3.588664
48.402932,-4.461694
49.179461,-0.396767
43.536111,-5.637222
43.476389,-3.793333
53.555278,-2.128611
53.370278,-1.470833
51.398333,-0.085556
53.411389,-1.500556
51.564444,-1.770556
51.486389,0.036389
53.804222,-1.759022
53.570225,-0.046497
51.884167,-0.431667
52.9425,-1.137222
51.716419,-1.208067
51.549016,0.7015583
53.3736111,-3.0325
53.65416,-1.76833
53.049722,-2.1925
53.5805055,-2.294822
53.0874194,-2.4357472
53.39972,-2.16638
52.565433,-1.9907055
51.38425,0.5607527
53.77222,-2.68805
53.4279,-1.362
50.38805,-4.150833
51.923394,0.897703
53.586725,-0.695266
50.735277,-1.83833
50.95027,-2.67488
51.488183,-0.302639
